video_id,detected_objects_withconfidence
10083,Shirt:1.0|Trousers:0.5|Footwear:0.6|Handbag:0.9|Watch:0.7|Guitar:0.2|Mobile_phone:0.8|Headphones:0.3|Hat:0.1|Sunglasses:0.4
10084,Shirt:0.9|Trousers:0.5|Footwear:0.8|Handbag:0.2|Watch:1.0|Guitar:0.1|Mobile_phone:0.4|Headphones:0.6|Hat:0.3|Sunglasses:0.7
10085,Shirt:0.9|Trousers:0.1|Footwear:1.0|Handbag:0.5|Watch:0.8|Guitar:0.2|Mobile_phone:0.6|Headphones:0.7|Hat:0.3|Sunglasses:0.4
10086,Shirt:0.4|Trousers:0.2|Footwear:1.0|Handbag:0.6|Watch:0.8|Guitar:0.5|Mobile_phone:0.9|Headphones:0.1|Hat:0.7|Sunglasses:0.3
10087,Shirt:0.5|Trousers:1.0|Footwear:0.2|Handbag:0.6|Watch:0.8|Guitar:0.3|Mobile_phone:0.4|Headphones:0.1|Hat:0.7|Sunglasses:0.9
10088,Shirt:0.5|Trousers:0.3|Footwear:1.0|Handbag:0.8|Watch:0.7|Guitar:0.4|Mobile_phone:0.9|Headphones:0.6|Hat:0.2|Sunglasses:0.1
10089,Shirt:0.5|Trousers:0.6|Footwear:0.1|Handbag:0.8|Watch:0.3|Guitar:1.0|Mobile_phone:0.4|Headphones:0.2|Hat:0.9|Sunglasses:0.7
10090,Shirt:0.9|Trousers:0.8|Footwear:0.1|Handbag:1.0|Watch:0.4|Guitar:0.7|Mobile_phone:0.2|Headphones:0.6|Hat:0.5|Sunglasses:0.3
10091,Shirt:0.5|Trousers:0.1|Footwear:0.4|Handbag:0.9|Watch:0.3|Guitar:0.7|Mobile_phone:0.6|Headphones:0.2|Hat:1.0|Sunglasses:0.8
10092,Shirt:0.5|Trousers:0.4|Footwear:0.8|Handbag:0.7|Watch:0.9|Guitar:0.6|Mobile_phone:0.2|Headphones:0.3|Hat:1.0|Sunglasses:0.1
10093,Shirt:0.3|Trousers:0.9|Footwear:0.6|Handbag:0.8|Watch:1.0|Guitar:0.4|Mobile_phone:0.2|Headphones:0.1|Hat:0.7|Sunglasses:0.5
10094,Shirt:0.3|Trousers:0.4|Footwear:0.5|Handbag:0.9|Watch:0.2|Guitar:0.7|Mobile_phone:1.0|Headphones:0.1|Hat:0.6|Sunglasses:0.8
10095,Shirt:0.5|Trousers:0.9|Footwear:0.3|Handbag:0.1|Watch:0.2|Guitar:0.6|Mobile_phone:0.7|Headphones:0.8|Hat:0.4|Sunglasses:1.0
10096,Shirt:0.5|Trousers:1.0|Footwear:0.8|Handbag:0.7|Watch:0.9|Guitar:0.2|Mobile_phone:0.6|Headphones:0.1|Hat:0.3|Sunglasses:0.4
10097,Shirt:0.8|Trousers:0.5|Footwear:0.2|Handbag:0.1|Watch:0.9|Guitar:1.0|Mobile_phone:0.4|Headphones:0.3|Hat:0.6|Sunglasses:0.7
10098,Shirt:1.0|Trousers:0.3|Footwear:0.9|Handbag:0.7|Watch:0.6|Guitar:0.1|Mobile_phone:0.2|Headphones:0.5|Hat:0.8|Sunglasses:0.4
10099,Shirt:0.4|Trousers:0.9|Footwear:0.8|Handbag:0.2|Watch:0.6|Guitar:0.7|Mobile_phone:1.0|Headphones:0.3|Hat:0.1|Sunglasses:0.5
10100,Shirt:0.2|Trousers:0.1|Footwear:0.5|Handbag:0.3|Watch:0.9|Guitar:0.6|Mobile_phone:1.0|Headphones:0.4|Hat:0.7|Sunglasses:0.8
10101,Shirt:0.9|Trousers:0.6|Footwear:0.3|Handbag:0.4|Watch:0.1|Guitar:0.5|Mobile_phone:0.2|Headphones:0.8|Hat:1.0|Sunglasses:0.7
10102,Shirt:0.8|Trousers:1.0|Footwear:0.4|Handbag:0.2|Watch:0.6|Guitar:0.1|Mobile_phone:0.9|Headphones:0.7|Hat:0.5|Sunglasses:0.3
10103,Shirt:0.1|Trousers:0.3|Footwear:0.2|Handbag:0.4|Watch:0.8|Guitar:0.6|Mobile_phone:0.5|Headphones:1.0|Hat:0.7|Sunglasses:0.9
10104,Shirt:0.8|Trousers:1.0|Footwear:0.3|Handbag:0.7|Watch:0.9|Guitar:0.4|Mobile_phone:0.6|Headphones:0.2|Hat:0.1|Sunglasses:0.5
10105,Shirt:1.0|Trousers:0.7|Footwear:0.8|Handbag:0.1|Watch:0.6|Guitar:0.5|Mobile_phone:0.3|Headphones:0.4|Hat:0.9|Sunglasses:0.2
10106,Shirt:1.0|Trousers:0.2|Footwear:0.6|Handbag:0.1|Watch:0.4|Guitar:0.5|Mobile_phone:0.7|Headphones:0.3|Hat:0.9|Sunglasses:0.8
